Facility Type,license,legalName,brand,location,streetAddress,addressLocality,postalCode,telephone,Number of Spaces,loc,longitude,latitude,entityTitle,@context,@type,@id
Parking Lot,948686,"276 EAST 169TH ST., CORP",GINEBRA PARKING,"276 169 STREET
BRONX, NY 10456
",276 169 STREET,BRONX,10456,7185883402,30,"[-73.91267904976527,40.83519476200064]",-73.91267904976527,40.83519476200064,276_east_169th_st_corp_948686,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/276_east_169th_st_corp_948686
Parking Lot,976955,EDISON NY PARKING LLC,,"409 35 STREET
NEW YORK, NY 10001
",409 35 STREET,NEW YORK,10001,2124636000,122,"[-73.99701992489666,40.75460171701217]",-73.99701992489666,40.75460171701217,edison_ny_parking_llc_976955,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/edison_ny_parking_llc_976955
Parking Lot,993927,MADISON SQUARE PARKING CORP,,"359 63 NINTH AVENUE
NEW YORK, NY 10001
",359 63 NINTH AVENUE,NEW YORK,10001,2122216111,40,"[-73.99688630375988,40.75025902143676]",-73.99688630375988,40.75025902143676,madison_square_parking_corp_993927,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/madison_square_parking_corp_993927
Parking Lot,997485,"STERLING CAR PARK, INC",,"430 ALBEE SQUARE
BROOKLYN, NY 11201
",430 ALBEE SQUARE,BROOKLYN,11201,2122216111,51,"[-73.98350791935191,40.69077804599247]",-73.98350791935191,40.69077804599247,sterling_car_park_inc_997485,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/sterling_car_park_inc_997485
Parking Lot,1004302,"INGENITO, FRANK",P&A PARKING LOT,"113 ROEBLING STREET
BROOKLYN, NY 11211
",113 ROEBLING STREET,BROOKLYN,11211,7189630348,6,"[-73.95608038041779,40.71535967504358]",-73.95608038041779,40.71535967504358,ingenito_frank_1004302,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ingenito_frank_1004302
Parking Lot,1009139,BIBLE HOLINESS CHURCH,,"1982 1986 NOSTRAND AVENUE
BROOKLYN, NY 11210
",1982 1986 NOSTRAND AVENUE,BROOKLYN,11210,7188591045,25,"[-73.946537919989,40.62772226387142]",-73.946537919989,40.62772226387142,bible_holiness_church_1009139,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/bible_holiness_church_1009139
Parking Lot,1014829,"DIAS, SHEILA",,"414 WAVERLY AVENUE
BROOKLYN, NY 11238
",414 WAVERLY AVENUE,BROOKLYN,11238,9172826101,9,"[-73.9663550018164,40.68556864523645]",-73.9663550018164,40.68556864523645,dias_sheila_1014829,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/dias_sheila_1014829
Parking Lot,1017361,"CARABALLO, EDILBERTO",184TH STREET PARKING,"453 184 STREET
BRONX, NY 10458
",453 184 STREET,BRONX,10458,7185633988,18,"[-73.89337237701251,40.85616867357618]",-73.89337237701251,40.85616867357618,caraballo_edilberto_1017361,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/caraballo_edilberto_1017361
Parking Lot,1025799,"29 PARK, LLC",,"221 29 STREET
NEW YORK, NY 10001
",221 29 STREET,NEW YORK,10001,2127143571,12,"[-73.99353642295226,40.74814632114334]",-73.99353642295226,40.74814632114334,29_park_llc_1025799,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/29_park_llc_1025799
Parking Lot,1029053,HAG OPERATING CORP,,"252 26 STREET
NEW YORK, NY 10001
",252 26 STREET,NEW YORK,10001,2129299404,82,"[-73.99577817490602,40.74662171551615]",-73.99577817490602,40.74662171551615,hag_operating_corp_1029053,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/hag_operating_corp_1029053
Parking Lot,1070798,MTP OPERATING CORP.,,"261 265 EDGECOMBE AVENUE
NEW YORK, NY 10031
",261 265 EDGECOMBE AVENUE,NEW YORK,10031,2125755335,42,"[-73.9501244360938,40.82495420507257]",-73.9501244360938,40.82495420507257,mtp_operating_corp_1070798,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/mtp_operating_corp_1070798
Parking Lot,1082418,ENTERPRISE 30TH ST PARKING LLC,,"506 530 WEST 30 STREET
NEW YORK, NY 10001
",506 530 WEST 30 STREET,NEW YORK,10001,2127442277,113,"[-73.99688630375988,40.75025902143676]",-73.99688630375988,40.75025902143676,enterprise_30th_st_parking_llc_1082418,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/enterprise_30th_st_parking_llc_1082418
Parking Lot,1086341,"PINOS JR, FLORENCIO A.",M & M PARKING 1,"297 148 STREET
BRONX, NY 10451
",297 148 STREET,BRONX,10451,7189127755,110,"[-73.9215786593368,40.81633686051945]",-73.9215786593368,40.81633686051945,pinos_jr_florencio_a_1086341,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/pinos_jr_florencio_a_1086341
Parking Lot,1091809,WIZARD CAR PARK LLC,,"320 36 STREET
NEW YORK, NY 10018
",320 36 STREET,NEW YORK,10018,2122216111,150,"[-73.99357902621875,40.75392242774609]",-73.99357902621875,40.75392242774609,wizard_car_park_llc_1091809,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/wizard_car_park_llc_1091809
Parking Lot,1094901,MUTUAL PARKING DEKALB LLC,,"1591 95 DEKALB AVENUE
BROOKLYN, NY 11237
",1591 95 DEKALB AVENUE,BROOKLYN,11237,7186283700,24,"[-73.92099423399668,40.704095739826585]",-73.92099423399668,40.704095739826585,mutual_parking_dekalb_llc_1094901,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/mutual_parking_dekalb_llc_1094901
Parking Lot,1096607,"CALIENTE CAR PARK, LLC",,"115 LEROY STREET
NEW YORK, NY 10014
",115 LEROY STREET,NEW YORK,10014,2122216111,98,"[-74.00757185998955,40.730311009363426]",-74.00757185998955,40.730311009363426,caliente_car_park_llc_1096607,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/caliente_car_park_llc_1096607
Parking Lot,1119974,"J&L PARKING, INC.",,"252 286 SCHERMERHORN STREET
BROOKLYN, NY 11217
",252 286 SCHERMERHORN STREET,BROOKLYN,11217,7329570585,100,"[-73.97956718857483,40.68231210132245]",-73.97956718857483,40.68231210132245,j_l_parking_inc_1119974,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/j_l_parking_inc_1119974
Parking Lot,1135386,CITISAFE PARKING CORP.,,"1355 CROMWELL AVENUE
BRONX, NY 10452
",1355 CROMWELL AVENUE,BRONX,10452,2125416050,100,"[-73.92042408565115,40.83976742625547]",-73.92042408565115,40.83976742625547,citisafe_parking_corp_1135386,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/citisafe_parking_corp_1135386
Parking Lot,1147734,DEAN 111 INC,,"686 88 GERARD AVENUE
BRONX, NY 10451
",686 88 GERARD AVENUE,BRONX,10451,9087831991,50,"[-73.92384136798472,40.82069640711353]",-73.92384136798472,40.82069640711353,dean_111_inc_1147734,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/dean_111_inc_1147734
Parking Lot,1179976,"RODRIGUEZ, JAVIER",J S PARKING LOT,"2801 JEROME AVENUE
BRONX, NY 10468
",2801 JEROME AVENUE,BRONX,10468,7185636413,100,"[-73.89438760521541,40.87079245279179]",-73.89438760521541,40.87079245279179,rodriguez_javier_1179976,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/rodriguez_javier_1179976
Parking Lot,1189991,J.K.H BUSINESS CORP,,"1579 UNDERCLIFF AVENUE
BRONX, NY 10453
",1579 UNDERCLIFF AVENUE,BRONX,10453,9999999999,72,"[-73.9228876424788,40.848009730800364]",-73.9228876424788,40.848009730800364,j_k_h_business_corp_1189991,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/j_k_h_business_corp_1189991
Parking Lot,1200151,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"2032 CRESTON AVENUE
BRONX, NY 10453
",2032 CRESTON AVENUE,BRONX,10453,2125025490,49,"[-73.90534116036129,40.85214567144856]",-73.90534116036129,40.85214567144856,central_parking_system_of_new_york_inc_1200151,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1200151
Parking Lot,1203270,23-24 OPERATING CORP,,"39 23 STREET
NEW YORK, NY 10010
",39 23 STREET,NEW YORK,10010,2129299404,42,"[-73.99115085673964,40.74220426170427]",-73.99115085673964,40.74220426170427,23_24_operating_corp_1203270,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/23_24_operating_corp_1203270
Parking Lot,1208906,SUPREME PARKING CORP,,"88 22 SUTPHIN BOULEVARD
JAMAICA, NY 11435
",88 22 SUTPHIN BOULEVARD,JAMAICA,11435,7182063312,100,"[-73.80979665579099,40.70119264912154]",-73.80979665579099,40.70119264912154,supreme_parking_corp_1208906,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/supreme_parking_corp_1208906
Parking Lot,1213663,"PROPARK AMERICA NEW YORK,LLC",,"0 MARGINAL STREET
NEW YORK, NY 10038
",0 MARGINAL STREET,NEW YORK,10038,9144786300,242,"[-73.98292146163978,40.7103422107454]",-73.98292146163978,40.7103422107454,propark_america_new_york_llc_1213663,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/propark_america_new_york_llc_1213663
Parking Lot,1220509,LOWER EAST SIDE DISTRICT MANAGEMENT ASSOCIATION INC,,"135 DELANCEY STREET
NEW YORK, NY 10002
",135 DELANCEY STREET,NEW YORK,10002,2125025490,294,"[-73.98698476013024,40.71785276450867]",-73.98698476013024,40.71785276450867,lower_east_side_district_management_association_inc_1220509,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/lower_east_side_district_management_association_inc_1220509
Parking Garage,1184299,"250 E. 63RD GARAGE, CORP",,"250 63 STREET
NEW YORK, NY 10021
",250 63 STREET,NEW YORK,10021,2127367171,39,"[-74.02353848465931,40.64112271244504]",-74.02353848465931,40.64112271244504,250_e_63rd_garage_corp_1184299,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/250_e_63rd_garage_corp_1184299
Parking Garage,1185215,STANDARD PARKING CORPORATION,,"90 15 QUEENS BOULEVARD
REGO PARK, NY 11373
",90 15 QUEENS BOULEVARD,REGO PARK,11373,7185923379,1903,"[-73.87835115518163,40.73871040256307]",-73.87835115518163,40.73871040256307,standard_parking_corporation_1185215,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/standard_parking_corporation_1185215
Parking Garage,1186204,"I. R. PARKING, INC",,"112 25TH STREET
NEW YORK, NY 10001
",112 25TH STREET,NEW YORK,10001,5169381310,290,"[-73.99257178554592,40.74447055321815]",-73.99257178554592,40.74447055321815,i_r_parking_inc_1186204,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/i_r_parking_inc_1186204
Parking Garage,1187738,REYER PARKING CORP,,"257 187 STREET
BRONX, NY 10458
",257 187 STREET,BRONX,10458,7189335279,100,"[-73.89752694859314,40.86017584644633]",-73.89752694859314,40.86017584644633,reyer_parking_corp_1187738,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/reyer_parking_corp_1187738
Parking Garage,1188120,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,"340 80 STREET
NEW YORK, NY 10021
",340 80 STREET,NEW YORK,10021,2125025490,88,"[-74.02816042400572,40.62754346929304]",-74.02816042400572,40.62754346929304,central_parking_system_of_new_york_inc_1188120,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1188120
Parking Garage,1192260,"NEW REGENT GARAGE CO., LLC",,"181 73 STREET
NEW YORK, NY 10021
",181 73 STREET,NEW YORK,10021,2125353865,53,"[-73.96054460123115,40.770648552269144]",-73.96054460123115,40.770648552269144,new_regent_garage_co_llc_1192260,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/new_regent_garage_co_llc_1192260
Parking Garage,1192617,"550 WEST 25TH CAR PARK, LLC",GGMC,"550 25 STREET
NEW YORK, NY 10001
",550 25 STREET,NEW YORK,10001,2129966363,163,"[-74.005342158362,40.74986648539391]",-74.005342158362,40.74986648539391,550_west_25th_car_park_llc_1192617,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/550_west_25th_car_park_llc_1192617
Parking Garage,1192888,QUIK PARK 61ST STREET LLC,,"425 61 STREET
NEW YORK, NY 10021
",425 61 STREET,NEW YORK,10021,2128322066,225,"[-74.01837573134814,40.639898586776205]",-74.01837573134814,40.639898586776205,quik_park_61st_street_llc_1192888,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/quik_park_61st_street_llc_1192888
Parking Garage,1192895,QUIK PARK GARMENT LLC,,"155 34 STREET
NEW YORK, NY 10016
",155 34 STREET,NEW YORK,10016,2128322066,66,"[-73.97870423985415,40.74597242100708]",-73.97870423985415,40.74597242100708,quik_park_garment_llc_1192895,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/quik_park_garment_llc_1192895
Parking Garage,1192922,QUIK PARK SOUTHERN LLC,,"1 NEW YORK PLAZA
NEW YORK, NY 10004
",1 NEW YORK PLAZA,NEW YORK,10004,2128322066,150,"[-74.12920292688285,40.621841348479]",-74.12920292688285,40.621841348479,quik_park_southern_llc_1192922,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/quik_park_southern_llc_1192922
Parking Garage,1192997,QUIK PARK REGENT LLC,,"38 BOWERY
NEW YORK, NY 10013
",38 BOWERY,NEW YORK,10013,2128322066,140,"[-73.99670302646568,40.71539323447464]",-73.99670302646568,40.71539323447464,quik_park_regent_llc_1192997,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/quik_park_regent_llc_1192997
Parking Garage,1193541,RIVER PARKING SYSTEMS CORP,,"85 158 STREET
BRONX, NY 10451
",85 158 STREET,BRONX,10451,7189939026,155,"[-73.92580811115565,40.82636291778453]",-73.92580811115565,40.82636291778453,river_parking_systems_corp_1193541,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/river_parking_systems_corp_1193541
Parking Garage,1193976,RICHMAN PLAZA GARAGE CORP.,,"55 RICHMAN PLAZA
BRONX, NY 10453
",55 RICHMAN PLAZA,BRONX,10453,5168526719,800,"[-73.92230656447363,40.85213519635567]",-73.92230656447363,40.85213519635567,richman_plaza_garage_corp_1193976,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/richman_plaza_garage_corp_1193976
Parking Garage,1197635,KINNEY PARKING SYSTEM INC,CENTRAL PARKING SYSTEM,"50 93 STREET
NEW YORK, NY 10025
",50 93 STREET,NEW YORK,10025,2125025490,62,"[-73.96775049753728,40.790434902135644]",-73.96775049753728,40.790434902135644,kinney_parking_system_inc_1197635,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/kinney_parking_system_inc_1197635
Parking Garage,1199939,KINNEY PARKING SYSTEM INC,CENTRAL PARKING SYSTEM,"213 43 STREET
NEW YORK, NY 10017
",213 43 STREET,NEW YORK,10017,2125025490,250,"[-73.97308347717103,40.75108057013347]",-73.97308347717103,40.75108057013347,kinney_parking_system_inc_1199939,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/kinney_parking_system_inc_1199939
Parking Garage,1206795,F. A. J. PARKING CORP.,,"3795 10 AVENUE
NEW YORK, NY 10034
",3795 10 AVENUE,NEW YORK,10034,2122817491,100,"[-73.92062602320192,40.86215583397234]",-73.92062602320192,40.86215583397234,f_a_j_parking_corp_1206795,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/f_a_j_parking_corp_1206795
Parking Garage,1208122,80 JOHN GARAGE CORP,,"80 JOHN STREET
NEW YORK, NY 10038
",80 JOHN STREET,NEW YORK,10038,2127367171,29,"[-74.0066371820842,40.70830881441998]",-74.0066371820842,40.70830881441998,80_john_garage_corp_1208122,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/80_john_garage_corp_1208122
Parking Garage,1214410,MP BATTERY LLC,,"325 END AVENUE
NEW YORK, NY 10282
",325 END AVENUE,NEW YORK,10282,2124903476,55,"[-74.01464928293802,40.71961455706622]",-74.01464928293802,40.71961455706622,mp_battery_llc_1214410,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/mp_battery_llc_1214410
Parking Garage,1216003,"SYLVAN GERARD GARAGE, LLC",,"70 25 YELLOWSTONE BOULEVARD
QUEENS, NY 11375
",70 25 YELLOWSTONE BOULEVARD,QUEENS,11375,7185759440,208,"[-73.84628429608335,40.720707263029794]",-73.84628429608335,40.720707263029794,sylvan_gerard_garage_llc_1216003,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/sylvan_gerard_garage_llc_1216003
Parking Garage,1216678,110 GARAGE CORP.,,"110 END AVENUE
NEW YORK, NY 10028
",110 END AVENUE,NEW YORK,10028,2127367171,40,"[-74.1787588373252,40.56343271615765]",-74.1787588373252,40.56343271615765,110_garage_corp_1216678,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/110_garage_corp_1216678
Parking Garage,1226138,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"39218 102 STREET
NEW YORK, NY 10029
",39218 102 STREET,NEW YORK,10029,2125025490,400,"[-73.94403228106489,40.79161072055837]",-73.94403228106489,40.79161072055837,central_parking_system_of_new_york_inc_1226138,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1226138
Parking Garage,1227187,SYLVAN KEW GARAGE LLC,,"80 02 KEW GARDENS ROAD
QUEENS, NY 11415
",80 02 KEW GARDENS ROAD,QUEENS,11415,7185759440,481,"[-73.82855612156771,40.708286075142325]",-73.82855612156771,40.708286075142325,sylvan_kew_garage_llc_1227187,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/sylvan_kew_garage_llc_1227187
Parking Garage,1232453,MARKET 15 PARKING LLC,,"552 566 AVENUE
NEW YORK, NY 10011
",552 566 AVENUE,NEW YORK,10011,2126869800,42,"[-74.00460000028977,40.74471526669623]",-74.00460000028977,40.74471526669623,market_15_parking_llc_1232453,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/market_15_parking_llc_1232453
Parking Garage,1233571,8TH STREET PARKING LLC,,"11 5 AVENUE
NEW YORK, NY 10003
",11 5 AVENUE,NEW YORK,10003,2126869800,113,"[-73.99620494895012,40.73236915353762]",-73.99620494895012,40.73236915353762,8th_street_parking_llc_1233571,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/8th_street_parking_llc_1233571
Parking Garage,1245038,"WELCOME PARKING, LIMITED LIABILITY COMPANY",,"88 06 VAN WYCK EXPRESSWAY
JAMAICA, NY 11418
",88 06 VAN WYCK EXPRESSWAY,JAMAICA,11418,7182068022,990,"[-73.84031024991805,40.69637041236467]",-73.84031024991805,40.69637041236467,welcome_parking_limited_liability_company_1245038,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/welcome_parking_limited_liability_company_1245038
Parking Garage,1246538,ULTIMATE 54 PARKING LLC,,"390 PARK AVENUE
NEW YORK, NY 10022
",390 PARK AVENUE,NEW YORK,10022,2126869800,149,"[-73.97249316021404,40.75945441171111]",-73.97249316021404,40.75945441171111,ultimate_54_parking_llc_1246538,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ultimate_54_parking_llc_1246538
Parking Garage,1249767,SUPREME PARKING CORP,,"230 30 STREET
NEW YORK, NY 10016
",230 30 STREET,NEW YORK,10016,7186834976,25,"[-73.9792538699722,40.74287794583437]",-73.9792538699722,40.74287794583437,supreme_parking_corp_1249767,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/supreme_parking_corp_1249767
Parking Garage,1250870,88TH STREET REALTY LP,,"1675 YORK AVENUE
NEW YORK, NY 10128
",1675 YORK AVENUE,NEW YORK,10128,2125358670,136,"[-73.9461604255952,40.777318721148696]",-73.9461604255952,40.777318721148696,88th_street_realty_lp_1250870,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/88th_street_realty_lp_1250870
Parking Garage,1253416,145 BRADHURST GARAGE CORP,,"68 BRADHURST AVENUE
NEW YORK, NY 10039
",68 BRADHURST AVENUE,NEW YORK,10039,2127367171,63,"[-73.94274622608168,40.82341641879766]",-73.94274622608168,40.82341641879766,145_bradhurst_garage_corp_1253416,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/145_bradhurst_garage_corp_1253416
Parking Garage,1254341,WESTSIDE 42 PARKING LLC,,"350 42 STREET
NEW YORK, NY 10036
",350 42 STREET,NEW YORK,10036,2126869800,200,"[-73.99124436625323,40.75780798081984]",-73.99124436625323,40.75780798081984,westside_42_parking_llc_1254341,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/westside_42_parking_llc_1254341
Parking Garage,1263503,LEXFORD PROPERTIES LP,,"420 80 STREET
NEW YORK, NY 10075
",420 80 STREET,NEW YORK,10075,2123763902,28,"[-73.95089720270818,40.77246644799027]",-73.95089720270818,40.77246644799027,lexford_properties_lp_1263503,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/lexford_properties_lp_1263503
Parking Garage,1273988,STANDARD PARKING CORPORATION,,"60 END AVENUE
NEW YORK, NY 10028
",60 END AVENUE,NEW YORK,10028,2129163480,120,"[-74.17877828590207,40.563532737410114]",-74.17877828590207,40.563532737410114,standard_parking_corporation_1273988,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/standard_parking_corporation_1273988
Parking Garage,1277045,STANDARD PARKING CORPORATION,,"950 RIVER AVENUE
BRONX, NY 10452
",950 RIVER AVENUE,BRONX,10452,7185384249,1205,"[-73.92474083133177,40.82978741545918]",-73.92474083133177,40.82978741545918,standard_parking_corporation_1277045,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/standard_parking_corporation_1277045
Parking Garage,1277376,NEW A&N FOOD MARKET INC,,"41 79 MAIN STREET
QUEENS, NY 11355
",41 79 MAIN STREET,QUEENS,11355,7189392560,60,"[-73.82147854789662,40.7512997969481]",-73.82147854789662,40.7512997969481,new_a_n_food_market_inc_1277376,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/new_a_n_food_market_inc_1277376
Parking Garage,1277537,"222 RIVERSIDE MANAGEMENT, LLC",,"222 RIVERSIDE DRIVE
NEW YORK, NY 10025
",222 RIVERSIDE DRIVE,NEW YORK,10025,2125810535,36,"[-73.97619513139239,40.79494949872276]",-73.97619513139239,40.79494949872276,222_riverside_management_llc_1277537,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/222_riverside_management_llc_1277537
Parking Garage,1281079,SYLVAN ELM GARAGE LLC,,"94 11 60 AVENUE
ELMHURST, NY 11373
",94 11 60 AVENUE,ELMHURST,11373,7185759440,40,"[-73.87835115518163,40.73871040256307]",-73.87835115518163,40.73871040256307,sylvan_elm_garage_llc_1281079,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/sylvan_elm_garage_llc_1281079
Parking Garage,1283007,ARH PARKING INC,,"3463 3 AVENUE
BRONX, NY 10456
",3463 3 AVENUE,BRONX,10456,7186845803,55,"[-73.90650549900424,40.82970315225251]",-73.90650549900424,40.82970315225251,arh_parking_inc_1283007,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/arh_parking_inc_1283007
Parking Garage,1283472,EASTSIDE 65 PARKING LLC,,"200 66 STREET
NEW YORK, NY 10065
",200 66 STREET,NEW YORK,10065,2126869800,255,"[-73.96342668156511,40.76587843598763]",-73.96342668156511,40.76587843598763,eastside_65_parking_llc_1283472,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/eastside_65_parking_llc_1283472
Parking Garage,1283493,KIPS BAY 27 PARKING LLC,,"236 246 EAST 27 STREET
NEW YORK, NY 10016
",236 246 EAST 27 STREET,NEW YORK,10016,2126869800,65,"[-73.97823298586354,40.745242969987146]",-73.97823298586354,40.745242969987146,kips_bay_27_parking_llc_1283493,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/kips_bay_27_parking_llc_1283493
Parking Garage,1288781,AMPCO SYSTEM PARKING,,"13 54 STREET
NEW YORK, NY 10022
",13 54 STREET,NEW YORK,10022,2166216600,225,"[-73.97464671600515,40.76076402711187]",-73.97464671600515,40.76076402711187,ampco_system_parking_1288781,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/ampco_system_parking_1288781
Parking Garage,1290043,STANDARD PARKING CORPORATION,,"90 15 PARSONS BOULEVARD
JAMAICA, NY 11432
",90 15 PARSONS BOULEVARD,JAMAICA,11432,212163480,499,"[-73.79282099978928,40.71311535449007]",-73.79282099978928,40.71311535449007,standard_parking_corporation_1290043,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/standard_parking_corporation_1290043
Parking Garage,1303081,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"150 83 STREET
NEW YORK, NY 10024
",150 83 STREET,NEW YORK,10024,2125025490,156,"[-73.97554761953131,40.7853537326701]",-73.97554761953131,40.7853537326701,central_parking_system_of_new_york_inc_1303081,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_1303081
Parking Garage,1303884,D'ALMONTE ENTERPRISES PARKING GARAGE INC,,"2080 JEROME AVENUE
BRONX, NY 10453
",2080 JEROME AVENUE,BRONX,10453,3478620100,70,"[-73.90675527820494,40.85445573412893]",-73.90675527820494,40.85445573412893,d_almonte_enterprises_parking_garage_inc_1303884,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/d_almonte_enterprises_parking_garage_inc_1303884
Parking Garage,1307068,125 CHARLES PARKING LLC,,"139 CHARLES STREET
NEW YORK, NY 10014
",139 CHARLES STREET,NEW YORK,10014,2033212175,5,"[-74.00799515834842,40.73416432276235]",-74.00799515834842,40.73416432276235,125_charles_parking_llc_1307068,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/125_charles_parking_llc_1307068
Parking Garage,1181333,"SAVANNAH GARAGE, LLC",,"250 89TH STREET
NEW YORK, NY 10024
",250 89TH STREET,NEW YORK,10024,2128887400,52,"[-73.97550265342983,40.7904079224748]",-73.97550265342983,40.7904079224748,savannah_garage_llc_1181333,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/savannah_garage_llc_1181333
Parking Garage,1181493,UPTOWN PARKING LLC,,"201 207 EAST 63 STREET
NEW YORK, NY 10021
",201 207 EAST 63 STREET,NEW YORK,10021,2126869800,100,"[-73.959183941086,40.76920532766377]",-73.959183941086,40.76920532766377,uptown_parking_llc_1181493,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/uptown_parking_llc_1181493
